,x1,x2,x3
1,1517620292.0,113.041381,23.078265
2,1517734795.0,106.734996,26.902826
1,1517639635.0,122.753592,41.6216
1,1517633026.0,104.114129,37.550339
1,1517555041.0,104.114129,37.550339
1,1517550354.0,104.114129,37.550339
1,1517533527.0,104.114129,37.550339
1,1517479197.0,104.114129,37.550339
1,1517543294.0,121.973871,24.086957
1,1517527132.0,121.973871,24.086957
1,1517536099.0,118.10388600000002,24.489231
1,1517535373.0,121.487899,31.249162
1,1517543910.0,121.973871,24.086957
1,1517554326.0,104.114129,37.550339
1,1517541070.0,118.10388600000002,24.489231
1,1517567246.0,104.067923,30.679942999999998
1,1517550420.0,109.50378899999998,35.860026
1,1517553415.0,104.114129,37.550339
1,1517558491.0,104.114129,37.550339
1,1517563808.0,106.734996,26.902826
1,1517547533.0,116.395645,39.929986
1,1517526543.0,113.041381,23.078265
1,1517543054.0,104.114129,37.550339
1,1517555953.0,116.395645,39.929986
1,1517480204.0,104.114129,37.550339
1,1517541794.0,104.114129,37.550339
1,1517550699.0,104.114129,37.550339
1,1517527477.0,121.973871,24.086957
1,1517474031.0,113.041381,23.078265
1,1517461582.0,121.487899,31.249162
1,1517466001.0,116.395645,39.929986
1,1517451260.0,116.48363,40.001376
1,1517474925.0,104.114129,37.550339
1,1517466821.0,113.041381,23.078265
1,1517453768.0,121.973871,24.086957
1,1517453493.0,118.79231000000001,34.556383000000004
1,1517466404.0,104.114129,37.550339
1,1517450007.0,121.973871,24.086957
1,1517471159.0,101.592952,24.864213
1,1517455716.0,121.487899,31.249162
1,1517476752.0,116.36095900000001,39.929769
1,1517478707.0,118.10388600000002,24.489231
1,1517469085.0,116.395645,39.929986
1,1517459586.0,116.395645,39.929986
1,1517468643.0,104.114129,37.550339
1,1517467491.0,104.114129,37.550339
1,1517441889.0,104.114129,37.550339
1,1517389229.0,112.41056200000001,31.209315999999998
1,1517451753.0,113.041381,23.078265
1,1517450438.0,104.114129,37.550339
1,1517469013.0,104.114129,37.550339
1,1517451950.0,118.10388600000002,24.489231
1,1517466428.0,114.3162,30.581084000000004
1,1517394830.0,106.734996,26.902826
1,1517447297.0,121.973871,24.086957
1,1517383231.0,104.114129,37.550339
1,1517440480.0,116.33805600000001,39.927695
1,1517383185.0,104.114129,37.550339
1,1517398434.0,104.114129,37.550339
1,1517451792.0,116.395645,39.929986
1,1517455191.0,116.00214199999999,40.475538
1,1517388805.0,104.114129,37.550339
1,1517394757.0,106.734996,26.902826
1,1517391386.0,104.114129,37.550339
